,english,polish
108,Hans Moravec and Marvin Minsky argue that work in different individual domains can be incorporated into an advanced multi-agent system or cognitive architecture with general intelligence.,"Hans Moravec i Marvin Minsky twierdzą, że praca w różnych indywidualnych domenach może zostać włączona do zaawansowanego systemu wieloagentowego lub architektury kognitywnej o ogólnej inteligencji."
109,"Pedro Domingos hopes that there is a conceptually straightforward, but mathematically difficult, ""master algorithm"" that could lead to AGI.","Pedro Domingos ma nadzieję, że istnieje koncepcyjnie prosty, ale matematycznie trudny ""główny algorytm"", który mógłby doprowadzić do powstania AGI."
110,Others believe that anthropomorphic features like an artificial brainor simulated child developmentwill someday reach a critical point where general intelligence emerges.,"Inni uważają, że antropomorficzne cechy, takie jak sztuczny mózg lub symulowany rozwój dziecka, pewnego dnia osiągną punkt krytyczny, w którym pojawi się ogólna inteligencja."
111,AI can solve many problems by intelligently searching through many possible solutions.,Sztuczna inteligencja może rozwiązać wiele problemów poprzez inteligentne przeszukiwanie wielu możliwych rozwiązań.
112,Reasoning can be reduced to performing a search.,Rozumowanie można sprowadzić do wyszukiwania.
113,"For example, logical proof can be viewed as searching for a path that leads from premises to conclusions, where each step is the application of an inference rule.","Na przykład dowód logiczny można postrzegać jako poszukiwanie ścieżki prowadzącej od przesłanek do wniosków, gdzie każdy krok jest zastosowaniem reguły wnioskowania."
114,"Planning algorithms search through trees of goals and subgoals, attempting to find a path to a target goal, a process called means-ends analysis.","Algorytmy planowania przeszukują drzewa celów i podcelów, próbując znaleźć ścieżkę do celu docelowego, proces ten nazywany jest analizą środków i celów."
115,Robotics algorithms for moving limbs and grasping objects use local searches in configuration space.,Algorytmy robotyki do poruszania kończynami i chwytania obiektów wykorzystują lokalne wyszukiwanie w przestrzeni konfiguracyjnej.
116,Simple exhaustive searchesare rarely sufficient for most real-world problems: the search space (the number of places to search) quickly grows to astronomical numbers.,Proste wyszukiwanie wyczerpujące rzadko jest wystarczające dla większości rzeczywistych problemów: przestrzeń wyszukiwania (liczba miejsc do przeszukania) szybko rośnie do astronomicznych liczb.
117,The result is a search that is too slow or never completes.,W rezultacie wyszukiwanie jest zbyt wolne lub nigdy się nie kończy.
118,"The solution, for many problems, is to use ""heuristics"" or ""rules of thumb"" that prioritize choices in favor of those more likely to reach a goal and to do so in a shorter number of steps.","Rozwiązaniem dla wielu problemów jest użycie ""heurystyki"" lub ""praktycznych zasad"", które nadają priorytet wyborom na korzyść tych, które z większym prawdopodobieństwem pozwolą osiągnąć cel i zrobić to w krótszej liczbie kroków."
119,"In some search methodologies, heuristics can also serve to eliminate some choices unlikely to lead to a goal (called ""pruning the search tree"").","W niektórych metodologiach wyszukiwania heurystyka może również służyć do eliminowania niektórych wyborów, które prawdopodobnie nie doprowadzą do celu (zwanych ""przycinaniem drzewa wyszukiwania"")."
120,"Heuristics supply the program with a ""best guess"" for the path on which the solution lies.","Heurystyka zapewnia programowi ""najlepsze przypuszczenie"" dotyczące ścieżki, na której znajduje się rozwiązanie."
121,Heuristics limit the search for solutions into a smaller sample size.,Heurystyki ograniczają wyszukiwanie rozwiązań do mniejszej próbki.
122,"A very different kind of search came to prominence in the 1990s, based on the mathematical theory of optimization.","W latach 90. na znaczeniu zyskał zupełnie inny rodzaj wyszukiwania, oparty na matematycznej teorii optymalizacji."
123,"For many problems, it is possible to begin the search with some form of a guess and then refine the guess incrementally until no more refinements can be made.","W przypadku wielu problemów, możliwe jest rozpoczęcie wyszukiwania z pewną formą przypuszczenia, a następnie stopniowe udoskonalanie przypuszczenia, aż do momentu, gdy nie będzie można dokonać dalszych udoskonaleń."
124,"These algorithms can be visualized as blind hill climbing: we begin the search at a random point on the landscape, and then, by jumps or steps, we keep moving our guess uphill, until we reach the top.","Algorytmy te można wizualizować jako ślepą wspinaczkę pod górę: rozpoczynamy wyszukiwanie w losowym punkcie krajobrazu, a następnie, skokami lub krokami, przesuwamy nasze przypuszczenia pod górę, aż dotrzemy na szczyt."
125,"Other related optimization algorithms include random optimization, beam search and metaheuristics like simulated annealing.","Inne powiązane algorytmy optymalizacji obejmują optymalizację losową, wyszukiwanie wiązką i metaheurystykę, taką jak symulowane wyżarzanie."
126,Evolutionary computation uses a form of optimization search.,Obliczenia ewolucyjne wykorzystują formę wyszukiwania optymalizacyjnego.
127,"For example, they may begin with a population of organisms (the guesses) and then allow them to mutate and recombine, selecting only the fittest to survive each generation (refining the guesses).","Na przykład, mogą zacząć od populacji organizmów (przypuszczenia), a następnie pozwolić im mutować i rekombinować, wybierając tylko najlepiej przystosowanych, którzy przetrwają każde pokolenie (udoskonalając przypuszczenia)."
128,"Classic evolutionary algorithms include genetic algorithms, gene expression programming, and genetic programming.","Klasyczne algorytmy ewolucyjne obejmują algorytmy genetyczne, programowanie ekspresji genów i programowanie genetyczne."
129,"Alternatively, distributed search processes can coordinate via swarm intelligence algorithms.","Alternatywnie, rozproszone procesy wyszukiwania mogą być koordynowane za pomocą algorytmów inteligencji roju."
130,Two popular swarm algorithms used in search are particle swarm optimization (inspired by bird flocking) and ant colony optimization (inspired by ant trails).,Dwa popularne algorytmy rojowe stosowane w wyszukiwaniu to optymalizacja roju cząstek (inspirowana stadem ptaków) i optymalizacja kolonii mrówek (inspirowana szlakami mrówek).
131,"Logicis used for knowledge representation and problem-solving, but it can be applied to other problems as well.","Logika jest używana do reprezentacji wiedzy i rozwiązywania problemów, ale może być również stosowana do innych problemów."
132,"For example, the satplan algorithm uses logic for planningand inductive logic programming is a method for learning.","Na przykład algorytm satplan wykorzystuje logikę do planowania, a indukcyjne programowanie logiczne jest metodą uczenia się."
133,Several different forms of logic are used in AI research.,W badaniach nad sztuczną inteligencją stosuje się kilka różnych form logiki.
134,"Propositional logic involves truth functions such as ""or"" and ""not"".","Logika propozycjonalna obejmuje funkcje prawdy, takie jak ""lub"" i ""nie""."
135,"First-order logicadds quantifiers and predicates and can express facts about objects, their properties, and their relations with each other.","Logika pierwszego rzędu dodaje kwantyfikatory i predykaty i może wyrażać fakty o obiektach, ich właściwościach i relacjach między nimi."
136,"Fuzzy logic assigns a ""degree of truth"" (between 0 and 1) to vague statements such as ""Alice is old"" (or rich, or tall, or hungry), that are too linguistically imprecise to be completely true or false.","Logika rozmyta przypisuje ""stopień prawdy"" (między 0 a 1) do niejasnych stwierdzeń, takich jak ""Alicja jest stara"" (lub bogata, lub wysoka, lub głodna), które są zbyt nieprecyzyjne językowo, aby być całkowicie prawdziwe lub fałszywe."
137,"Default logics, non-monotonic logics and circumscription are forms of logic designed to help with default reasoning and the qualification problem.","Logiki domyślne, logiki niemonotoniczne i opisy są formami logiki zaprojektowanymi, aby pomóc w rozumowaniu domyślnym i problemie kwalifikacji."
138,"Several extensions of logic have been designed to handle specific domains of knowledge, such as description logics;situation calculus, event calculus and fluent calculus (for representing events and time);causal calculus;belief calculus (belief revision); and modal logics.","Kilka rozszerzeń logiki zostało zaprojektowanych do obsługi określonych dziedzin wiedzy, takich jak logika opisu, rachunek sytuacyjny, rachunek zdarzeń i rachunek płynny (do reprezentowania zdarzeń i czasu), rachunek przyczynowy, rachunek przekonań (rewizja przekonań) oraz logika modalna."
139,"Logics to model contradictory or inconsistent statements arising in multi-agent systems have also been designed, such as paraconsistent logics.","Zaprojektowano również logiki do modelowania sprzecznych lub niespójnych stwierdzeń pojawiających się w systemach wieloagentowych, takie jak logiki parakonsystentne."
140,"Many problems in AI (including in reasoning, planning, learning, perception, and robotics) require the agent to operate with incomplete or uncertain information.","Wiele problemów w sztucznej inteligencji (w tym w rozumowaniu, planowaniu, uczeniu się, percepcji i robotyce) wymaga od agenta działania z niepełnymi lub niepewnymi informacjami."
141,AI researchers have devised a number of tools to solve these problems using methods from probability theory and economics.,Naukowcy zajmujący się sztuczną inteligencją opracowali szereg narzędzi do rozwiązywania tych problemów przy użyciu metod z teorii prawdopodobieństwa i ekonomii.
142,"Bayesian networksare a very general tool that can be used for various problems, including reasoning (using the Bayesian inference algorithm),learning (using the expectation-maximization algorithm),planning (using decision networks) and perception (using dynamic Bayesian networks).","Sieci bayesowskie są bardzo ogólnym narzędziem, które może być wykorzystywane do różnych problemów, w tym rozumowania (przy użyciu algorytmu wnioskowania bayesowskiego), uczenia się (przy użyciu algorytmu maksymalizacji oczekiwań), planowania (przy użyciu sieci decyzyjnych) i percepcji (przy użyciu dynamicznych sieci bayesowskich)."
143,"Probabilistic algorithms can also be used for filtering, prediction, smoothing and finding explanations for streams of data, helping perception systems to analyze processes that occur over time (e.g., hidden Markov models or Kalman filters).","Algorytmy probabilistyczne mogą być również wykorzystywane do filtrowania, przewidywania, wygładzania i znajdowania wyjaśnień dla strumieni danych, pomagając systemom percepcji analizować procesy zachodzące w czasie (np. ukryte modele Markowa lub filtry Kalmana)."
144,"A key concept from the science of economics is ""utility"", a measure of how valuable something is to an intelligent agent.","Kluczowym pojęciem z dziedziny ekonomii jest ""użyteczność"", czyli miara tego, jak cenne jest coś dla inteligentnego podmiotu."
145,"Precise mathematical tools have been developed that analyze how an agent can make choices and plan, using decision theory, decision analysis,and information value theory.","Opracowano precyzyjne narzędzia matematyczne, które analizują, w jaki sposób agent może dokonywać wyborów i planować, wykorzystując teorię decyzji, analizę decyzji i teorię wartości informacji."
146,"These tools include models such as Markov decision processes, dynamic decision networks, game theory and mechanism design.","Narzędzia te obejmują modele takie jak procesy decyzyjne Markowa, dynamiczne sieci decyzyjne, teorię gier i projektowanie mechanizmów."
147,"The simplest AI applications can be divided into two types: classifiers (""if shiny then diamond"") and controllers (""if diamond then pick up"").","Najprostsze aplikacje AI można podzielić na dwa typy: klasyfikatory (""jeśli błyszczący, to diament"") i kontrolery (""jeśli diament, to podnieś"")."
148,"Controllers do, however, also classify conditions before inferring actions, and therefore classification forms a central part of many AI systems.","Kontrolery klasyfikują jednak również warunki przed wnioskowaniem o działaniach, a zatem klasyfikacja stanowi centralną część wielu systemów sztucznej inteligencji."
149,Classifiers are functions that use pattern matching to determine the closest match.,"Klasyfikatory to funkcje, które wykorzystują dopasowywanie wzorców w celu określenia najbliższego dopasowania."
150,"They can be tuned according to examples, making them very attractive for use in AI.","Można je dostroić zgodnie z przykładami, co czyni je bardzo atrakcyjnymi do wykorzystania w sztucznej inteligencji."
151,These examples are known as observations or patterns.,Przykłady te znane są jako obserwacje lub wzorce.
152,"In supervised learning, each pattern belongs to a certain predefined class.",W uczeniu nadzorowanym każdy wzorzec należy do pewnej predefiniowanej klasy.
153,A class is a decision that has to be made.,"Klasa to decyzja, którą trzeba podjąć."
154,All the observations combined with their class labels are known as a data set.,Wszystkie obserwacje połączone z ich etykietami klas są znane jako zbiór danych.
155,"When a new observation is received, that observation is classified based on previous experience.",Po otrzymaniu nowej obserwacji jest ona klasyfikowana na podstawie wcześniejszych doświadczeń.
156,A classifier can be trained in various ways; there are many statistical and machine learning approaches.,Klasyfikator można trenować na różne sposoby; istnieje wiele podejść statystycznych i uczenia maszynowego.
157,The decision tree is the simplest and most widely used symbolic machine learning algorithm.,Drzewo decyzyjne jest najprostszym i najczęściej stosowanym algorytmem symbolicznego uczenia maszynowego.
158,K-nearest neighbor algorithm was the most widely used analogical AI until the mid-1990s.,Algorytm K-najbliższych sąsiadów był najczęściej stosowanym algorytmem analogowej sztucznej inteligencji do połowy lat 90-tych.
159,Kernel methods such as the support vector machine (SVM) displaced k-nearest neighbor in the 1990s.,"Metody jądrowe, takie jak maszyna wektorów nośnych (SVM), wyparły k-najbliższego sąsiada w latach 90-tych."
160,"The naive Bayes classifier is reportedly the ""most widely used learner"" at Google, due in part to its scalability.","Naiwny klasyfikator Bayesa jest podobno ""najczęściej używanym uczniem"" w Google, częściowo ze względu na jego skalowalność."
161,Neural networks are also used for classification.,Sieci neuronowe są również wykorzystywane do klasyfikacji.
162,"Classifier performance depends greatly on the characteristics of the data to be classified, such as the dataset size, distribution of samples across classes, dimensionality, and the level of noise.","Wydajność klasyfikatora zależy w dużej mierze od charakterystyki danych, które mają zostać sklasyfikowane, takich jak rozmiar zbioru danych, rozkład próbek na klasy, wymiarowość i poziom szumu."
163,Model-based classifiers perform well if the assumed model is an extremely good fit for the actual data.,"Klasyfikatory oparte na modelach działają dobrze, jeśli założony model jest wyjątkowo dobrze dopasowany do rzeczywistych danych."
164,"Otherwise, if no matching model is available, and if accuracy (rather than speed or scalability) is the sole concern, conventional wisdom is that discriminative classifiers (especially SVM) tend to be more accurate than model-based classifiers such as ""naive Bayes"" on most practical data sets.","W przeciwnym razie, jeśli nie jest dostępny żaden pasujący model i jeśli dokładność (a nie szybkość lub skalowalność) jest jedynym zmartwieniem, konwencjonalna mądrość mówi, że klasyfikatory dyskryminacyjne (zwłaszcza SVM) są zwykle dokładniejsze niż klasyfikatory oparte na modelach, takie jak ""naiwny Bayes"" na większości praktycznych zestawów danych."
165,Neural networkswere inspired by the architecture of neurons in the human brain.,Sieci neuronowe zostały zainspirowane architekturą neuronów w ludzkim mózgu.
166,"A simple ""neuron"" N accepts input from other neurons, each of which, when activated (or ""fired""), casts a weighted ""vote"" for or against whether neuron N should itself activate.","Prosty ""neuron"" N przyjmuje dane wejściowe od innych neuronów, z których każdy po aktywacji (lub ""odpaleniu"") oddaje ważony ""głos"" za lub przeciw temu, czy neuron N powinien się aktywować."
167,"Learning requires an algorithm to adjust these weights based on the training data; one simple algorithm (dubbed ""fire together, wire together"") is to increase the weight between two connected neurons when the activation of one triggers the successful activation of another.","Uczenie się wymaga algorytmu dostosowującego te wagi w oparciu o dane treningowe; jeden prosty algorytm (nazwany ""fire together, wire together"") polega na zwiększeniu wagi między dwoma połączonymi neuronami, gdy aktywacja jednego z nich powoduje pomyślną aktywację drugiego."
168,"Neurons have a continuous spectrum of activation; in addition, neurons can process inputs in a nonlinear way rather than weighing straightforward votes.","Neurony mają ciągłe spektrum aktywacji; ponadto neurony mogą przetwarzać dane wejściowe w sposób nieliniowy, a nie poprzez proste ważenie głosów."
169,Modern neural networks model complex relationships between inputs and outputs and find patterns in data.,Nowoczesne sieci neuronowe modelują złożone relacje między danymi wejściowymi i wyjściowymi oraz znajdują wzorce w danych.
170,They can learn continuous functions and even digital logical operations.,"Mogą uczyć się funkcji ciągłych, a nawet cyfrowych operacji logicznych."
171,Neural networks can be viewed as a type of mathematical optimization – they perform gradient descent on a multi-dimensional topology that was created by training the network.,"Sieci neuronowe można postrzegać jako rodzaj optymalizacji matematycznej - wykonują one zejście gradientowe na wielowymiarowej topologii, która została utworzona przez szkolenie sieci."
172,The most common training technique is the backpropagation algorithm.,Najpopularniejszą techniką szkoleniową jest algorytm wstecznej propagacji.
173,"Other learning techniques for neural networks are Hebbian learning (""fire together, wire together""), GMDH or competitive learning.","Inne techniki uczenia dla sieci neuronowych to uczenie hebbowskie (""fire together, wire together""), GMDH lub uczenie konkurencyjne."
174,The main categories of networks are acyclic or feedforward neural networks (where the signal passes in only one direction) and recurrent neural networks (which allow feedback and short-term memories of previous input events).,Główne kategorie sieci to acykliczne lub sprzężone sieci neuronowe (w których sygnał przechodzi tylko w jednym kierunku) i rekurencyjne sieci neuronowe (które umożliwiają sprzężenie zwrotne i krótkoterminowe zapamiętywanie poprzednich zdarzeń wejściowych).
175,"Among the most popular feedforward networks are perceptrons, multi-layer perceptrons and radial basis networks.","Do najpopularniejszych sieci typu feedforward należą perceptrony, perceptrony wielowarstwowe i sieci radialne."
176,Deep learninguses several layers of neurons between the network's inputs and outputs.,Głębokie uczenie wykorzystuje kilka warstw neuronów między wejściami i wyjściami sieci.
177,The multiple layers can progressively extract higher-level features from the raw input.,Wiele warstw może stopniowo wyodrębniać cechy wyższego poziomu z surowych danych wejściowych.
178,"For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits or letters or faces.","Na przykład w przetwarzaniu obrazu niższe warstwy mogą identyfikować krawędzie, podczas gdy wyższe warstwy mogą identyfikować pojęcia istotne dla człowieka, takie jak cyfry, litery lub twarze."
179,"Deep learning has drastically improved the performance of programs in many important subfields of artificial intelligence, including computer vision, speech recognition, image classification and others.","Głębokie uczenie drastycznie poprawiło wydajność programów w wielu ważnych poddziedzinach sztucznej inteligencji, w tym w wizji komputerowej, rozpoznawaniu mowy, klasyfikacji obrazów i innych."
180,Deep learning often uses convolutional neural networks for many or all of its layers.,Głębokie uczenie często wykorzystuje konwolucyjne sieci neuronowe dla wielu lub wszystkich swoich warstw.
181,"In a convolutional layer, each neuron receives input from only a restricted area of the previous layer called the neuron's receptive field.","W warstwie konwolucyjnej każdy neuron otrzymuje dane wejściowe tylko z ograniczonego obszaru poprzedniej warstwy, zwanego polem receptywnym neuronu."
182,"This can substantially reduce the number of weighted connections between neurons, and creates a hierarchy similar to the organization of the animal visual cortex.",Może to znacznie zmniejszyć liczbę ważonych połączeń między neuronami i tworzy hierarchię podobną do organizacji kory wzrokowej zwierząt.
183,"In a recurrent neural network (RNN) the signal will propagate through a layer more than once;thus, an RNN is an example of deep learning.",W rekurencyjnej sieci neuronowej (RNN) sygnał będzie propagowany przez warstwę więcej niż jeden raz; dlatego RNN jest przykładem głębokiego uczenia się.
184,"RNNs can be trained by gradient descent,however long-term gradients which are back-propagated can ""vanish"" (that is, they can tend to zero) or ""explode"" (that is, they can tend to infinity), known as the vanishing gradient problem.","Sieci RNN mogą być trenowane poprzez zejście gradientowe, jednak długoterminowe gradienty, które są wstecznie propagowane mogą ""zniknąć"" (tzn. mogą mieć tendencję do zera) lub ""eksplodować"" (tzn. mogą mieć tendencję do nieskończoności), co jest znane jako problem znikającego gradientu."
185,The long short term memory (LSTM) technique can prevent this in most cases.,Technika długiej pamięci krótkotrwałej (LSTM) może temu zapobiec w większości przypadków.
186,"Specialized languages for artificial intelligence have been developed, such as Lisp, Prolog, TensorFlow and many others.","Opracowano specjalistyczne języki dla sztucznej inteligencji, takie jak Lisp, Prolog, TensorFlow i wiele innych."
187,Hardware developed for AI includes AI accelerators and neuromorphic computing.,Sprzęt opracowany dla AI obejmuje akceleratory AI i obliczenia neuromorficzne.
188,AI is relevant to any intellectual task.,Sztuczna inteligencja jest istotna dla każdego zadania intelektualnego.
189,Modern artificial intelligence techniques are pervasive and are too numerous to list here.,"Nowoczesne techniki sztucznej inteligencji są wszechobecne i jest ich zbyt wiele, by je tu wymienić."
190,"Frequently, when a technique reaches mainstream use, it is no longer considered artificial intelligence; this phenomenon is described as the AI effect.","Często, gdy technika osiąga powszechne zastosowanie, nie jest już uważana za sztuczną inteligencję; zjawisko to określa się jako efekt AI."
191,"In the 2010s, AI applications were at the heart of the most commercially successful areas of computing, and have become a ubiquitous feature of daily life.",W 2010 roku aplikacje AI były sercem najbardziej komercyjnych obszarów informatyki i stały się wszechobecną cechą codziennego życia.
192,"AI is used in search engines (such as Google Search),targeting online advertisements, recommendation systems (offered by Netflix, YouTube or Amazon),driving internet traffic, targeted advertising (AdSense, Facebook),virtual assistants (such as Siri or Alexa), autonomous vehicles (including drones, ADAS and self-driving cars),automatic language translation (Microsoft Translator, Google Translate),facial recognition (Apple's Face ID or Microsoft's DeepFace),image labeling (used by Facebook, Apple's iPhoto and TikTok), spam filtering and chatbots (such as Chat GPT).","Sztuczna inteligencja jest wykorzystywana w wyszukiwarkach (takich jak Google Search), kierowaniu reklam online, systemach rekomendacji (oferowanych przez Netflix, YouTube lub Amazon), kierowaniu ruchem internetowym, reklamach ukierunkowanych (AdSense, Facebook), wirtualnych asystentach (takich jak Siri lub Alexa), pojazdach autonomicznych (w tym dronach, ADAS i samojezdne samochody), automatyczne tłumaczenie języka (Microsoft Translator, Google Translate), rozpoznawanie twarzy (Face ID firmy Apple lub DeepFace firmy Microsoft), etykietowanie obrazów (używane przez Facebook, Apple iPhoto i TikTok), filtrowanie spamu i chatboty (takie jak Chat GPT)."
193,There are also thousands of successful AI applications used to solve problems for specific industries or institutions.,Istnieją również tysiące udanych aplikacji AI wykorzystywanych do rozwiązywania problemów w określonych branżach lub instytucjach.
194,"A few examples are energy storage, deepfakes, medical diagnosis, military logistics, foreign policy, or supply chain management.","Kilka przykładów to magazynowanie energii, deepfakes, diagnostyka medyczna, logistyka wojskowa, polityka zagraniczna lub zarządzanie łańcuchem dostaw."
195,Game playing has been a test of AI's strength since the 1950s.,Granie w gry jest testem siły sztucznej inteligencji od lat 50. ubiegłego wieku.
196,"Deep Blue became the first computer chess-playing system to beat a reigning world chess champion, Garry Kasparov, on 11 May 1997.","Deep Blue stał się pierwszym komputerowym systemem szachowym, który pokonał panującego mistrza świata w szachach, Garry'ego Kasparowa, 11 maja 1997 roku."
197,"In 2011, in a Jeopardy!",W 2011 roku w programie Jeopardy!
198,"quiz show exhibition match, IBM's question answering system, Watson, defeated the two greatest Jeopardy!","w teleturnieju Watson, system IBM odpowiadający na pytania, pokonał dwóch największych zwycięzców Jeopardy!"
199,"champions, Brad Rutter and Ken Jennings, by a significant margin.","mistrzów, Brada Ruttera i Kena Jenningsa, ze znaczną przewagą."
200,"In March 2016, AlphaGo won 4 out of 5 games of Go in a match with Go champion Lee Sedol, becoming the first computer Go-playing system to beat a professional Go player without handicaps.","W marcu 2016 roku AlphaGo wygrał 4 z 5 gier Go w meczu z mistrzem Go Lee Sedolem, stając się pierwszym komputerowym systemem do gry w Go, który pokonał profesjonalnego gracza Go bez handicapów."
201,"Other programs handle imperfect-information games; such as for poker at a superhuman level, Pluribus and Cepheus.","Inne programy obsługują gry z niedoskonałą informacją; takie jak poker na nadludzkim poziomie, Pluribus i Cepheus."
202,"DeepMind in the 2010s developed a ""generalized artificial intelligence"" that could learn many diverse Atari games on its own.","W 2010 roku firma DeepMind opracowała ""uogólnioną sztuczną inteligencję"", która mogła samodzielnie nauczyć się wielu różnych gier Atari."
203,"By 2020, Natural Language Processing systems such as the enormous GPT-3 (then by far the largest artificial neural network) were matching human performance on pre-existing benchmarks, albeit without the system attaining a commonsense understanding of the contents of the benchmarks.","Do 2020 r. systemy przetwarzania języka naturalnego, takie jak ogromny GPT-3 (wówczas zdecydowanie największa sztuczna sieć neuronowa), dorównywały ludzkiej wydajności w istniejących wcześniej testach porównawczych, aczkolwiek system nie osiągnął zdroworozsądkowego zrozumienia treści testów porównawczych."
204,"DeepMind's AlphaFold 2 (2020) demonstrated the ability to approximate, in hours rather than months, the 3D structure of a protein.","DeepMind's AlphaFold 2 (2020) wykazał zdolność do przybliżenia, w ciągu godzin, a nie miesięcy, struktury 3D białka."
205,"Other applications predict the result of judicial decisions, create art (such as poetry or painting) and prove mathematical theorems.","Inne aplikacje przewidują wyniki decyzji sądowych, tworzą sztukę (taką jak poezja lub malarstwo) i udowadniają twierdzenia matematyczne."
206,"AI content detector tools are software applications that use artificial intelligence (AI) algorithms to analyze and detect specific types of content in digital media, such as text, images, and videos.","Narzędzia do wykrywania treści AI to aplikacje wykorzystujące algorytmy sztucznej inteligencji (AI) do analizowania i wykrywania określonych rodzajów treści w mediach cyfrowych, takich jak tekst, obrazy i filmy."
207,"These tools are commonly used to identify inappropriate content, such as speech errors, violent or sexual images, and spam, among others.","Narzędzia te są powszechnie używane do identyfikowania nieodpowiednich treści, takich jak błędy w mowie, brutalne lub seksualne obrazy i spam."
208,"Some benefits of using AI content detector tools include improved efficiency and accuracy in detecting inappropriate content, increased safety and security for users, and reduced legal and reputational risks for websites and platforms.","Niektóre korzyści płynące z korzystania z narzędzi do wykrywania treści AI obejmują zwiększoną wydajność i dokładność w wykrywaniu nieodpowiednich treści, zwiększone bezpieczeństwo i ochronę użytkowników oraz zmniejszone ryzyko prawne i reputacyjne dla stron internetowych i platform."
209,Smart traffic lights have been developed at Carnegie Mellon since 2009.,Inteligentna sygnalizacja świetlna jest rozwijana w Carnegie Mellon od 2009 roku.
210,Professor Stephen Smith has started a company since then Surtrac that has installed smart traffic control systems in 22 cities.,"Od tego czasu profesor Stephen Smith założył firmę Surtrac, która zainstalowała inteligentne systemy kontroli ruchu w 22 miastach."
211,"It costs about $20,000 per intersection to install.",Koszt instalacji wynosi około 20 000 USD na skrzyżowanie.
212,Drive time has been reduced by 25% and traffic jam waiting time has been reduced by 40% at the intersections it has been installed.,"Czas przejazdu został skrócony o 25%, a czas oczekiwania w korku został skrócony o 40% na skrzyżowaniach, na których zainstalowano system."
213,"In 2019, WIPO reported that AI was the most prolific emerging technology in terms of the number of patent applications and granted patents, the Internet of things was estimated to be the largest in terms of market size.","W 2019 r. WIPO poinformowało, że sztuczna inteligencja była najbardziej płodną wschodzącą technologią pod względem liczby wniosków patentowych i przyznanych patentów, a internet rzeczy był szacowany jako największy pod względem wielkości rynku."
214,"It was followed, again in market size, by big data technologies, robotics, AI, 3D printing and the fifth generation of mobile services (5G).","Kolejne pod względem wielkości rynku były technologie big data, robotyka, sztuczna inteligencja, druk 3D i usługi mobilne piątej generacji (5G)."
215,"Since AI emerged in the 1950s, 340,000 AI-related patent applications were filed by innovators and 1.6 million scientific papers have been published by researchers, with the majority of all AI-related patent filings published since 2013.","Odkąd sztuczna inteligencja pojawiła się w latach 50. ubiegłego wieku, innowatorzy złożyli 340 000 wniosków patentowych związanych ze sztuczną inteligencją, a naukowcy opublikowali 1,6 miliona artykułów naukowych, przy czym większość wszystkich wniosków patentowych związanych ze sztuczną inteligencją została opublikowana od 2013 roku."
216,"Companies represent 26 out of the top 30 AI patent applicants, with universities or public research organizations accounting for the remaining four.","Firmy reprezentują 26 z 30 największych wnioskodawców ubiegających się o patenty na sztuczną inteligencję, a pozostałe cztery to uniwersytety lub publiczne organizacje badawcze."
217,"The ratio of scientific papers to inventions has significantly decreased from 8:1 in 2010 to 3:1 in 2016, which is attributed to be indicative of a shift from theoretical research to the use of AI technologies in commercial products and services.","Stosunek publikacji naukowych do wynalazków znacznie spadł z 8:1 w 2010 r. do 3:1 w 2016 r., co przypisuje się przejściu od badań teoretycznych do wykorzystania technologii AI w komercyjnych produktach i usługach."
218,"Machine learning is the dominant AI technique disclosed in patents and is included in more than one-third of all identified inventions (134,777 machine learning patents filed for a total of 167,038 AI patents filed in 2016), with computer vision being the most popular functional application.","Uczenie maszynowe jest dominującą techniką sztucznej inteligencji ujawnioną w patentach i jest uwzględnione w ponad jednej trzeciej wszystkich zidentyfikowanych wynalazków (134 777 patentów na uczenie maszynowe zgłoszonych w sumie 167 038 patentów na sztuczną inteligencję zgłoszonych w 2016 r.), przy czym wizja komputerowa jest najpopularniejszym zastosowaniem funkcjonalnym."
219,"AI-related patents not only disclose AI techniques and applications, they often also refer to an application field or industry.","Patenty związane ze sztuczną inteligencją nie tylko ujawniają techniki i zastosowania sztucznej inteligencji, ale często odnoszą się również do dziedziny zastosowania lub branży."
220,"Twenty application fields were identified in 2016 and included, in order of magnitude: telecommunications (15 percent), transportation (15 percent), life and medical sciences (12 percent), and personal devices, computing and human–computer interaction (11 percent).","W 2016 roku zidentyfikowano dwadzieścia obszarów zastosowań, w tym, w kolejności od największego do najmniejszego: telekomunikacja (15%), transport (15%), nauki przyrodnicze i medyczne (12%) oraz urządzenia osobiste, informatyka i interakcja człowiek-komputer (11%)."
221,"Other sectors included banking, entertainment, security, industry and manufacturing, agriculture, and networks (including social networks, smart cities and the Internet of things).","Inne sektory obejmowały bankowość, rozrywkę, bezpieczeństwo, przemysł i produkcję, rolnictwo i sieci (w tym sieci społecznościowe, inteligentne miasta i internet rzeczy)."
222,"IBM has the largest portfolio of AI patents with 8,290 patent applications, followed by Microsoft with 5,930 patent applications.","IBM ma największy portfel patentów AI z 8 290 wnioskami patentowymi, a następnie Microsoft z 5 930 wnioskami patentowymi."
223,"Alan Turing wrote in 1950 ""I propose to consider the question 'can machines think'?","Alan Turing napisał w 1950 roku: ""Proponuję rozważyć pytanie 'czy maszyny mogą myśleć'?"
